"Year","National Defense","Human resources","Education, Training, Employment, and Social Services","Health","Medicare","Income Security","Social Security","Veterans Benefits and Services","Physical resources","Energy","Natural Resources and Environment","Commerce and Housing Credit","Transportation","Community and Regional Development","Net interest","Other functions","International Affairs","General Science, Space, and Technology","Agriculture","Administration of Justice","General Government","Undistributed offsetting receipts","Total"
1963,8.6,5.4,0.2,0.2,0,1.5,2.5,0.9,1.3,0.1,0.4,0,0.7,0.1,1.2,2.3,0.9,0.5,0.7,0.1,0.2,-0.9,18
1964,8.3,5.3,0.2,0.3,0,1.5,2.5,0.9,1.4,0.1,0.4,0.1,0.8,0.1,1.2,2.5,0.7,0.7,0.7,0.1,0.2,-0.9,17.9
1965,7.1,5.1,0.3,0.3,0,1.3,2.5,0.8,1.6,0.1,0.4,0.2,0.8,0.2,1.2,2.4,0.7,0.8,0.6,0.1,0.2,-0.8,16.6
1966,7.4,5.5,0.6,0.3,0,1.2,2.6,0.8,1.7,0.1,0.3,0.4,0.7,0.1,1.2,2.2,0.7,0.9,0.3,0.1,0.2,-0.8,17.2
1967,8.5,6.1,0.8,0.4,0.3,1.2,2.6,0.8,1.8,0.1,0.3,0.5,0.7,0.1,1.2,2,0.7,0.7,0.4,0.1,0.2,-0.9,18.8
1968,9.1,6.6,0.8,0.5,0.5,1.3,2.7,0.8,1.8,0.1,0.3,0.5,0.7,0.2,1.2,2,0.6,0.6,0.5,0.1,0.2,-0.9,19.8
1969,8.4,6.8,0.8,0.5,0.6,1.3,2.8,0.8,1.2,0.1,0.3,0,0.7,0.2,1.3,1.8,0.5,0.5,0.6,0.1,0.2,-0.8,18.7
1970,7.8,7.2,0.8,0.6,0.6,1.5,2.9,0.8,1.5,0.1,0.3,0.2,0.7,0.2,1.4,1.6,0.4,0.4,0.5,0.1,0.2,-0.8,18.6
1971,7,8.2,0.9,0.6,0.6,2.1,3.2,0.9,1.6,0.1,0.3,0.2,0.7,0.3,1.3,1.5,0.4,0.4,0.4,0.1,0.2,-0.9,18.8
1972,6.5,8.8,1,0.7,0.6,2.3,3.3,0.9,1.6,0.1,0.3,0.2,0.7,0.3,1.3,1.5,0.4,0.3,0.4,0.1,0.2,-0.8,18.9
1973,5.7,8.8,0.9,0.7,0.6,2.1,3.6,0.9,1.5,0.1,0.4,0.1,0.7,0.3,1.3,1.8,0.3,0.3,0.4,0.2,0.7,-1,18.1
1974,5.3,9.1,0.8,0.7,0.6,2.3,3.8,0.9,1.7,0.1,0.4,0.3,0.6,0.3,1.4,1.6,0.4,0.3,0.1,0.2,0.7,-1.1,18.1
1975,5.4,10.8,1,0.8,0.8,3.1,4,1,2.2,0.2,0.5,0.6,0.7,0.3,1.4,1.7,0.4,0.2,0.2,0.2,0.6,-0.8,20.6
1976,5,11.4,1.1,0.9,0.9,3.4,4.1,1,2.2,0.2,0.5,0.4,0.8,0.3,1.5,1.5,0.4,0.2,0.2,0.2,0.5,-0.8,20.8
1977,4.8,10.9,1,0.9,1,3,4.2,0.9,2,0.3,0.5,0.2,0.7,0.3,1.5,1.7,0.3,0.2,0.3,0.2,0.6,-0.7,20.2
1978,4.6,10.6,1.2,0.8,1,2.7,4.1,0.8,2.3,0.4,0.5,0.3,0.7,0.5,1.6,1.7,0.3,0.2,0.5,0.2,0.5,-0.7,20.1
1979,4.5,10.4,1.2,0.8,1,2.6,4,0.8,2.1,0.4,0.5,0.2,0.7,0.4,1.7,1.6,0.3,0.2,0.4,0.2,0.5,-0.7,19.6
1980,4.8,11.2,1.1,0.8,1.1,3.1,4.2,0.8,2.4,0.4,0.5,0.3,0.8,0.4,1.9,1.6,0.5,0.2,0.3,0.2,0.5,-0.7,21.1
1981,5,11.5,1.1,0.9,1.2,3.2,4.4,0.7,2.3,0.5,0.4,0.3,0.7,0.3,2.2,1.5,0.4,0.2,0.4,0.2,0.4,-0.9,21.6
1982,5.6,11.7,0.8,0.8,1.4,3.3,4.7,0.7,1.9,0.4,0.4,0.2,0.6,0.3,2.6,1.5,0.4,0.2,0.5,0.1,0.3,-0.8,22.5
1983,5.9,12,0.7,0.8,1.5,3.5,4.8,0.7,1.6,0.3,0.4,0.2,0.6,0.2,2.5,1.7,0.3,0.2,0.6,0.1,0.3,-1,22.8
1984,5.8,10.9,0.7,0.8,1.5,2.9,4.5,0.6,1.5,0.2,0.3,0.2,0.6,0.2,2.8,1.4,0.4,0.2,0.3,0.1,0.3,-0.8,21.5
1985,5.9,11,0.7,0.8,1.5,3,4.4,0.6,1.3,0.1,0.3,0.1,0.6,0.2,3,1.6,0.4,0.2,0.6,0.2,0.3,-0.8,22.2
1986,6,10.6,0.7,0.8,1.5,2.7,4.4,0.6,1.3,0.1,0.3,0.1,0.6,0.2,3,1.6,0.3,0.2,0.7,0.1,0.3,-0.7,21.8
1987,5.9,10.5,0.6,0.8,1.6,2.6,4.3,0.6,1.2,0.1,0.3,0.1,0.5,0.1,2.9,1.3,0.2,0.2,0.6,0.2,0.2,-0.8,21
1988,5.6,10.3,0.6,0.9,1.5,2.5,4.3,0.6,1.3,0,0.3,0.4,0.5,0.1,2.9,1.1,0.2,0.2,0.3,0.2,0.2,-0.7,20.6
1989,5.4,10.2,0.6,0.9,1.5,2.5,4.2,0.5,1.5,0,0.3,0.5,0.5,0.1,3,1,0.2,0.2,0.3,0.2,0.2,-0.7,20.5
1990,5.1,10.5,0.6,1,1.7,2.5,4.2,0.5,2.1,0.1,0.3,1.1,0.5,0.1,3.1,1,0.2,0.2,0.2,0.2,0.2,-0.6,21.2
1991,4.5,11.3,0.7,1.2,1.7,2.8,4.4,0.5,2.2,0,0.3,1.2,0.5,0.1,3.2,1.2,0.3,0.3,0.2,0.2,0.2,-0.6,21.7
1992,4.6,12,0.7,1.4,1.8,3.1,4.5,0.5,1.2,0.1,0.3,0.2,0.5,0.1,3.1,1.2,0.3,0.3,0.2,0.2,0.2,-0.6,21.5
1993,4.3,12.2,0.7,1.5,1.9,3.1,4.5,0.5,0.7,0.1,0.3,-0.3,0.5,0.1,2.9,1.2,0.3,0.3,0.3,0.2,0.2,-0.6,20.7
1994,3.9,12.1,0.6,1.5,2,3,4.4,0.5,1,0.1,0.3,-0.1,0.5,0.1,2.8,1,0.2,0.2,0.2,0.2,0.2,-0.5,20.3
1995,3.6,12.2,0.7,1.5,2.1,3,4.4,0.5,0.8,0.1,0.3,-0.2,0.5,0.1,3.1,1,0.2,0.2,0.1,0.2,0.2,-0.6,20
1996,3.3,12,0.6,1.5,2.2,2.9,4.4,0.5,0.8,0,0.3,-0.1,0.5,0.1,3,0.9,0.2,0.2,0.1,0.2,0.1,-0.5,19.6
1997,3.2,11.8,0.6,1.5,2.2,2.8,4.3,0.5,0.7,0,0.2,-0.2,0.5,0.1,2.9,0.9,0.2,0.2,0.1,0.2,0.1,-0.6,18.9
1998,3,11.5,0.6,1.5,2.2,2.7,4.2,0.5,0.8,0,0.2,0,0.5,0.1,2.7,0.9,0.1,0.2,0.1,0.3,0.2,-0.5,18.5
1999,2.9,11.1,0.5,1.5,2,2.5,4.1,0.5,0.9,0,0.3,0,0.4,0.1,2.4,1,0.2,0.2,0.2,0.3,0.2,-0.4,17.9
2000,2.9,11,0.5,1.5,1.9,2.5,4,0.5,0.8,0,0.2,0,0.5,0.1,2.2,1.1,0.2,0.2,0.4,0.3,0.1,-0.4,17.6
2001,2.9,11.3,0.5,1.6,2.1,2.6,4.1,0.4,0.9,0,0.2,0.1,0.5,0.1,2,1,0.2,0.2,0.2,0.3,0.1,-0.4,17.6
2002,3.2,12.1,0.6,1.8,2.1,2.9,4.2,0.5,1,0,0.3,0,0.6,0.1,1.6,1.1,0.2,0.2,0.2,0.3,0.2,-0.4,18.5
2003,3.6,12.5,0.7,1.9,2.2,3,4.2,0.5,1,0,0.3,0,0.6,0.2,1.4,1.1,0.2,0.2,0.2,0.3,0.2,-0.5,19.1
2004,3.8,12.3,0.7,2,2.2,2.8,4.1,0.5,1,0,0.3,0,0.5,0.1,1.3,1.1,0.2,0.2,0.1,0.4,0.2,-0.5,19
2005,3.8,12.3,0.8,1.9,2.3,2.7,4.1,0.5,1,0,0.2,0.1,0.5,0.2,1.4,1.1,0.3,0.2,0.2,0.3,0.1,-0.5,19.2
2006,3.8,12.2,0.9,1.8,2.4,2.6,4,0.5,1.2,0,0.2,0,0.5,0.4,1.7,1,0.2,0.2,0.2,0.3,0.1,-0.5,19.4
2007,3.8,12.3,0.6,1.9,2.6,2.6,4.1,0.5,0.9,0,0.2,0,0.5,0.2,1.7,0.9,0.2,0.2,0.1,0.3,0.1,-0.6,19.1
2008,4.2,12.8,0.6,1.9,2.6,2.9,4.2,0.6,1.1,0,0.2,0.2,0.5,0.2,1.7,1,0.2,0.2,0.1,0.3,0.1,-0.6,20.2
2009,4.6,15,0.6,2.3,3,3.7,4.7,0.7,3.1,0,0.2,2,0.6,0.2,1.3,1.1,0.3,0.2,0.2,0.4,0.2,-0.6,24.4
2010,4.7,16.1,0.9,2.5,3.1,4.2,4.8,0.7,0.6,0.1,0.3,-0.6,0.6,0.2,1.3,1.2,0.3,0.2,0.1,0.4,0.2,-0.6,23.4
2011,4.6,15.7,0.7,2.4,3.2,3.9,4.8,0.8,1.1,0.1,0.3,-0.1,0.6,0.2,1.5,1.2,0.3,0.2,0.1,0.4,0.2,-0.6,23.4
2012,4.2,14.7,0.6,2.2,2.9,3.4,4.8,0.8,1.3,0.1,0.3,0.3,0.6,0.2,1.4,1.1,0.3,0.2,0.1,0.4,0.2,-0.6,22.1
2013,3.8,14.7,0.4,2.2,3,3.3,4.9,0.8,0.5,0.1,0.2,-0.5,0.6,0.2,1.3,1.1,0.3,0.2,0.2,0.3,0.2,-0.6,20.9
2014,3.5,14.7,0.5,2.4,3,3,4.9,0.9,0.3,0,0.2,-0.6,0.5,0.1,1.3,1,0.3,0.2,0.1,0.3,0.2,-0.5,20.4
2015,3.3,15.2,0.7,2.7,3.1,2.9,5,0.9,0.6,0,0.2,-0.2,0.5,0.1,1.3,1,0.3,0.2,0.1,0.3,0.1,-0.7,20.7
