country,gdp_2015
Tajikistan,7912816345
Turkmenistan,37253652748
Latin America & the Caribbean (IDA & IBRD countries),5.72742E+12
Timor-Leste,1224482000
Tonga,392854758.9
South Asia (IDA & IBRD),2.79026E+12
Sub-Saharan Africa (IDA & IBRD countries),1.65918E+12
Trinidad and Tobago,22708070511
Tunisia,48080578883
Turkey,9.06443E+11
Tuvalu,36751811.4
Tanzania,43728244107
Uganda,26261325125
Ukraine,1.21073E+11
Upper middle income,1.97674E+13
Uruguay,47849274689
United States,1.65974E+13
Uzbekistan,58114360771
St. Vincent and the Grenadines,719761378.4
Virgin Islands (U.S.),3165495402
Vietnam,1.54509E+11
Vanuatu,747161562.6
World,7.52417E+13
Samoa,703544816.5
Kosovo,6822403564
"Yemen, Rep.",20780222150
South Africa,4.17308E+11
Zambia,26058118447
Zimbabwe,12709382552
