"Year","National Defense","Education, Training, Employment, and Social Services","Health","Medicare","Income Security","Social Security","Veterans Benefits and Services","Energy","Natural Resources and Environment","Commerce and Housing Credit","Transportation","Community and Regional Development","Net interest","International Affairs","General Science, Space, and Technology","Agriculture","Administration of Justice","General Government","Undistributed offsetting receipts","Total"
1962,52345,1241,1198,0,9207,14365,5619,604,2044,1424,4290,469,6889,5639,1723,3562,429,1049,-5274,106821
1963,53400,1458,1451,0,9311,15788,5514,530,2251,62,4596,574,7740,5308,3051,4384,465,1230,-5797,111316
1964,54757,1555,1788,0,9657,16620,5675,572,2364,418,5242,933,8199,4945,4897,4609,489,1518,-5708,118528
1965,50620,2140,1791,0,9469,17460,5716,699,2531,1157,5763,1114,8591,5273,5823,3954,536,1499,-5908,118228
1966,58111,4363,2543,64,9678,20694,5916,612,2719,3245,5730,1105,9386,5580,6717,2447,564,1603,-6542,134532
1967,71417,6453,3351,2748,10261,21725,6735,782,2869,3979,5936,1108,10268,5566,6233,2990,618,1719,-7294,157464
1968,81926,7634,4390,4649,11816,23854,7032,1037,2988,4280,6316,1382,11090,5301,5524,4544,659,1757,-8045,178134
1969,82497,7548,5162,5695,13076,27298,7631,1010,2900,-119,6526,1552,12699,4600,5020,5826,766,1939,-7986,183640
1970,81692,8634,5907,6213,15655,30270,8669,997,3065,2112,7008,2392,14380,4330,4511,5166,959,2320,-8632,195649
1971,78872,9849,6843,6622,22946,35872,9768,1035,3915,2366,8052,2917,14841,4159,4182,4290,1307,2442,-10107,210172
1972,79174,12529,8674,7479,27650,40157,10720,1296,4241,2222,8392,3423,15478,4781,4175,5227,1684,2960,-9583,230681
1973,76681,12744,9356,8052,28278,49090,12003,1237,4775,931,9066,4605,17349,4149,4032,4821,2174,9774,-13409,245707
1974,79347,12455,10733,9639,33714,55867,13374,1303,5697,4705,9172,4229,21449,5710,3980,2194,2505,10032,-16749,269359
1975,86509,16022,12930,12875,50176,64658,16584,2916,7346,9947,10918,4322,23244,7097,3991,2997,3028,10374,-13602,332332
1976,89619,18910,15734,15834,60799,73899,18419,4204,8184,7619,13739,5442,26727,6433,4373,3109,3430,9706,-14386,371792
1977,97241,21104,17302,19345,61060,85061,18022,5770,10032,3093,14829,7021,29901,6353,4736,6734,3701,12791,-14879,409218
1978,104495,26706,18524,22768,61509,93861,18961,7991,10983,6254,15521,11841,35458,7482,4926,11301,3923,11961,-15720,458746
1979,116342,30218,20494,26495,66382,104073,19914,9179,12135,4686,18079,10480,42633,7459,5234,11176,4286,12241,-17476,504028
1980,133995,31835,23169,32090,86565,118547,21169,10156,13858,9390,21329,11252,52533,12714,5831,8774,4702,12975,-19942,590941
1981,157513,33146,26866,39149,100304,139584,22973,15166,13568,8206,23379,10568,68766,13104,6468,11241,4908,11373,-28041,678241
1982,185309,26609,27445,46567,108158,155964,23938,13527,12998,6256,20625,8347,85032,12300,7199,15866,4842,10861,-26099,745743
1983,209903,26194,28641,52588,123041,170724,24824,9353,12672,6681,21334,7564,89808,11848,7934,22807,5246,11181,-33976,808364
1984,227411,26916,30417,57540,113405,178223,25575,7073,12586,6959,23669,7673,111102,15869,8311,13477,5811,11746,-31957,851805
1985,252743,28589,33541,65822,129032,188623,26251,5608,13345,4337,25838,7676,129478,16169,8622,25427,6426,11515,-32698,946344
1986,273373,29773,35933,70164,120685,198756,26314,4690,13628,5058,28113,7233,136017,14146,8962,31319,6735,12491,-33007,990382
1987,281996,28918,39964,75120,124137,207352,26729,4072,13355,6434,26222,5049,138611,11645,9200,26466,7715,7487,-36455,1004017
1988,290360,30928,44483,78878,130430,219341,29367,2296,14601,19163,27272,5293,151803,10466,10820,17088,9397,9399,-36967,1064416
1989,303555,35325,48380,84964,137589,232542,30003,2705,16169,29709,27608,5362,168981,9583,12821,16698,9644,9317,-37212,1143743
1990,299321,37167,57699,98102,148838,248623,29034,3341,17055,67599,29485,8531,184347,13758,14426,11637,10185,10462,-36615,1252993
1991,273285,41231,71168,104489,172633,269014,31275,2436,18544,76270,31099,6810,194448,15846,16092,14886,12486,11568,-39356,1324226
1992,298346,42735,89486,119024,199732,287584,34037,4499,20001,10918,33332,6836,199344,16090,16389,14922,14650,12883,-39280,1381529
1993,291084,47374,99401,130552,210137,304585,35642,4319,20224,-21853,35004,9146,198713,17218,17006,20081,15193,12944,-37386,1409386
1994,281640,43281,107107,144747,217290,319565,37559,5218,21000,-4228,38066,10620,202932,17067,16189,14795,15516,11159,-37772,1461752
1995,272063,51020,115399,159855,223806,335846,37862,4936,21889,-17808,39350,10746,232134,16429,16692,9671,16508,13799,-44455,1515742
1996,265748,48311,119365,174225,229746,349671,36956,2839,21503,-10478,39565,10741,241053,13487,16684,9035,17898,11755,-37620,1560484
1997,270502,48972,123832,190016,235035,365251,39283,1475,21201,-14640,40767,11049,243984,15173,17136,8889,20617,12547,-49973,1601116
1998,268194,50512,131425,192822,237750,379215,41741,1270,22278,1007,40343,9771,241118,13054,18172,12077,23359,15544,-47194,1652458
1999,274769,50605,141048,190447,242478,390037,43155,911,23943,2641,42532,11865,229755,15239,18084,22879,26536,15363,-40445,1701842
2000,294363,53764,154504,197113,253724,409423,46989,-761,25003,3207,46853,10623,222949,17213,18594,36458,28499,13013,-42581,1788950
2001,304732,57094,172233,217384,269774,432958,44974,9,25532,5731,54447,11773,206167,16485,19753,26252,30201,14358,-47011,1862846
2002,348456,70566,196497,230855,312720,455980,50929,475,29426,-407,61833,12981,170949,22315,20734,21965,35061,16951,-47392,2010894
2003,404733,82587,219541,249433,334632,474680,56984,-725,29667,727,67069,18850,153073,21199,20831,22496,35340,23164,-54382,2159899
2004,455813,87974,240122,269360,333059,495548,59746,-147,30694,5265,64627,15820,160245,26870,23029,15439,45576,22338,-58537,2292841
2005,495294,97555,250548,298638,345847,523305,70120,440,27983,7566,67894,26262,183986,34565,23597,26565,40019,16997,-65224,2471957
2006,521820,118482,252739,329868,352477,548549,69811,785,33025,6187,70244,54465,226603,29499,23584,25969,41016,18177,-68250,2655050
2007,551258,91656,266382,375407,365975,586153,72818,-852,31721,487,72905,29567,237109,28482,24407,17662,42362,17425,-82238,2728686
2008,616066,91287,280599,390758,431313,617027,84653,631,31820,27870,77616,23952,252757,28857,26773,18387,48097,20323,-86242,2982544
2009,661012,79749,334335,430093,533224,682963,95429,4755,35573,291535,84289,27676,186902,37529,28417,22237,52581,22017,-92639,3517677
2010,693485,128598,369068,451636,622210,706737,108384,11618,43667,-82316,91972,23894,196194,45195,30100,21356,54383,23014,-82116,3457079
2011,705554,101233,372504,485653,597349,730811,127189,12174,45473,-12573,92966,23883,229962,45685,29466,20662,56056,27476,-88467,3603056
2012,677852,90823,346742,471793,541344,773290,124595,14858,41631,40647,93019,25132,220408,47184,29060,17791,56277,28041,-103536,3536951
2013,633446,72808,358315,497826,536511,813551,138938,11042,38145,-83199,91673,32336,220885,46231,28908,29678,52601,27737,-92785,3454647
2014,603457,90615,409449,511688,513644,850533,149616,5270,36171,-94861,91938,20670,228956,46686,28570,24386,50457,26913,-88044,3506114
2015,589564,122061,482223,546202,508843,887753,159738,6838,36034,-37905,89533,20670,223181,48576,29412,18500,51903,20969,-115803,3688292
