"Year","National Defense","Human resources","Education, Training, Employment, and Social Services","Health","Medicare","Income Security","Social Security","Veterans Benefits and Services","Physical resources","Energy","Natural Resources and Environment","Commerce and Housing Credit","Transportation","Community and Regional Development","Net interest","Other functions","International Affairs","General Science, Space, and Technology","Agriculture","Administration of Justice","General Government","Undistributed offsetting receipts","Total"
1978,104495,242329,26706,18524,22768,61509,93861,18961,52590,7991,10983,6254,15521,11841,35458,39594,7482,4926,11301,3923,11961,-15720,458746
1979,116342,267574,30218,20494,26495,66382,104073,19914,54559,9179,12135,4686,18079,10480,42633,40396,7459,5234,11176,4286,12241,-17476,504028
1980,133995,313374,31835,23169,32090,86565,118547,21169,65985,10156,13858,9390,21329,11252,52533,44996,12714,5831,8774,4702,12975,-19942,590941
1981,157513,362022,33146,26866,39149,100304,139584,22973,70886,15166,13568,8206,23379,10568,68766,47095,13104,6468,11241,4908,11373,-28041,678241
1982,185309,388681,26609,27445,46567,108158,155964,23938,61752,13527,12998,6256,20625,8347,85032,51068,12300,7199,15866,4842,10861,-26099,745743
1983,209903,426011,26194,28641,52588,123041,170724,24824,57603,9353,12672,6681,21334,7564,89808,59015,11848,7934,22807,5246,11181,-33976,808364
1984,227411,432076,26916,30417,57540,113405,178223,25575,57960,7073,12586,6959,23669,7673,111102,55214,15869,8311,13477,5811,11746,-31957,851805
1985,252743,471859,28589,33541,65822,129032,188623,26251,56804,5608,13345,4337,25838,7676,129478,68160,16169,8622,25427,6426,11515,-32698,946344
1986,273373,481625,29773,35933,70164,120685,198756,26314,58722,4690,13628,5058,28113,7233,136017,73652,14146,8962,31319,6735,12491,-33007,990382
1987,281996,502220,28918,39964,75120,124137,207352,26729,55132,4072,13355,6434,26222,5049,138611,62513,11645,9200,26466,7715,7487,-36455,1004017
1988,290360,533426,30928,44483,78878,130430,219341,29367,68625,2296,14601,19163,27272,5293,151803,57169,10466,10820,17088,9397,9399,-36967,1064416
1989,303555,568803,35325,48380,84964,137589,232542,30003,81553,2705,16169,29709,27608,5362,168981,58063,9583,12821,16698,9644,9317,-37212,1143743
1990,299321,619463,37167,57699,98102,148838,248623,29034,126011,3341,17055,67599,29485,8531,184347,60468,13758,14426,11637,10185,10462,-36615,1252993
1991,273285,689810,41231,71168,104489,172633,269014,31275,135159,2436,18544,76270,31099,6810,194448,70879,15846,16092,14886,12486,11568,-39356,1324226
1992,298346,772599,42735,89486,119024,199732,287584,34037,75586,4499,20001,10918,33332,6836,199344,74934,16090,16389,14922,14650,12883,-39280,1381529
1993,291084,827691,47374,99401,130552,210137,304585,35642,46841,4319,20224,-21853,35004,9146,198713,82443,17218,17006,20081,15193,12944,-37386,1409386
1994,281640,869550,43281,107107,144747,217290,319565,37559,70677,5218,21000,-4228,38066,10620,202932,74725,17067,16189,14795,15516,11159,-37772,1461752
1995,272063,923788,51020,115399,159855,223806,335846,37862,59113,4936,21889,-17808,39350,10746,232134,73099,16429,16692,9671,16508,13799,-44455,1515742
1996,265748,958274,48311,119365,174225,229746,349671,36956,64170,2839,21503,-10478,39565,10741,241053,68859,13487,16684,9035,17898,11755,-37620,1560484
1997,270502,1002389,48972,123832,190016,235035,365251,39283,59852,1475,21201,-14640,40767,11049,243984,74362,15173,17136,8889,20617,12547,-49973,1601116
1998,268194,1033465,50512,131425,192822,237750,379215,41741,74669,1270,22278,1007,40343,9771,241118,82206,13054,18172,12077,23359,15544,-47194,1652458
1999,274769,1057770,50605,141048,190447,242478,390037,43155,81892,911,23943,2641,42532,11865,229755,98101,15239,18084,22879,26536,15363,-40445,1701842
2000,294363,1115517,53764,154504,197113,253724,409423,46989,84925,-761,25003,3207,46853,10623,222949,113777,17213,18594,36458,28499,13013,-42581,1788950
2001,304732,1194417,57094,172233,217384,269774,432958,44974,97492,9,25532,5731,54447,11773,206167,107049,16485,19753,26252,30201,14358,-47011,1862846
2002,348456,1317547,70566,196497,230855,312720,455980,50929,104308,475,29426,-407,61833,12981,170949,117026,22315,20734,21965,35061,16951,-47392,2010894
2003,404733,1417857,82587,219541,249433,334632,474680,56984,115588,-725,29667,727,67069,18850,153073,123030,21199,20831,22496,35340,23164,-54382,2159899
2004,455813,1485809,87974,240122,269360,333059,495548,59746,116259,-147,30694,5265,64627,15820,160245,133252,26870,23029,15439,45576,22338,-58537,2292841
2005,495294,1586013,97555,250548,298638,345847,523305,70120,130145,440,27983,7566,67894,26262,183986,141743,34565,23597,26565,40019,16997,-65224,2471957
2006,521820,1671926,118482,252739,329868,352477,548549,69811,164706,785,33025,6187,70244,54465,226603,138245,29499,23584,25969,41016,18177,-68250,2655050
2007,551258,1758391,91656,266382,375407,365975,586153,72818,133828,-852,31721,487,72905,29567,237109,130338,28482,24407,17662,42362,17425,-82238,2728686
2008,616066,1895637,91287,280599,390758,431313,617027,84653,161889,631,31820,27870,77616,23952,252757,142437,28857,26773,18387,48097,20323,-86242,2982544
2009,661012,2155793,79749,334335,430093,533224,682963,95429,443828,4755,35573,291535,84289,27676,186902,162781,37529,28417,22237,52581,22017,-92639,3517677
2010,693485,2386633,128598,369068,451636,622210,706737,108384,88835,11618,43667,-82316,91972,23894,196194,174048,45195,30100,21356,54383,23014,-82116,3457079
2011,705554,2414739,101233,372504,485653,597349,730811,127189,161923,12174,45473,-12573,92966,23883,229962,179345,45685,29466,20662,56056,27476,-88467,3603056
2012,677852,2348587,90823,346742,471793,541344,773290,124595,215287,14858,41631,40647,93019,25132,220408,178353,47184,29060,17791,56277,28041,-103536,3536951
2013,633446,2417949,72808,358315,497826,536511,813551,138938,89997,11042,38145,-83199,91673,32336,220885,185155,46231,28908,29678,52601,27737,-92785,3454647
2014,603457,2525545,90615,409449,511688,513644,850533,149616,59188,5270,36171,-94861,91938,20670,228956,177012,46686,28570,24386,50457,26913,-88044,3506114
2015,589564,2706820,122061,482223,546202,508843,887753,159738,115170,6838,36034,-37905,89533,20670,223181,169360,48576,29412,18500,51903,20969,-115803,3688292
