"Year","National Defense","Education, Training, Employment, and Social Services","Health","Medicare","Income Security","Social Security","Veterans Benefits and Services","Energy","Natural Resources and Environment","Commerce and Housing Credit","Transportation","Community and Regional Development","Net interest","International Affairs","General Science, Space, and Technology","Agriculture","Administration of Justice","General Government","Undistributed offsetting receipts","Total"
1980,22.7,5.4,3.9,5.4,14.6,20.1,3.6,1.7,2.3,1.6,3.6,1.9,8.9,2.2,1,1.5,0.8,2.2,-3.4,100
1981,23.2,4.9,4,5.8,14.8,20.6,3.4,2.2,2,1.2,3.4,1.6,10.1,1.9,1,1.7,0.7,1.7,-4.1,100
1982,24.8,3.6,3.7,6.2,14.5,20.9,3.2,1.8,1.7,0.8,2.8,1.1,11.4,1.6,1,2.1,0.6,1.5,-3.5,100
1983,26,3.2,3.5,6.5,15.2,21.1,3.1,1.2,1.6,0.8,2.6,0.9,11.1,1.5,1,2.8,0.6,1.4,-4.2,100
1984,26.7,3.2,3.6,6.8,13.3,20.9,3,0.8,1.5,0.8,2.8,0.9,13,1.9,1,1.6,0.7,1.4,-3.8,100
1985,26.7,3,3.5,7,13.6,19.9,2.8,0.6,1.4,0.5,2.7,0.8,13.7,1.7,0.9,2.7,0.7,1.2,-3.5,100
1986,27.6,3,3.6,7.1,12.2,20.1,2.7,0.5,1.4,0.5,2.8,0.7,13.7,1.4,0.9,3.2,0.7,1.3,-3.3,100
1987,28.1,2.9,4,7.5,12.4,20.7,2.7,0.4,1.3,0.6,2.6,0.5,13.8,1.2,0.9,2.6,0.8,0.7,-3.6,100
1988,27.3,2.9,4.2,7.4,12.3,20.6,2.8,0.2,1.4,1.8,2.6,0.5,14.3,1,1,1.6,0.9,0.9,-3.5,100
1989,26.5,3.1,4.2,7.4,12,20.3,2.6,0.2,1.4,2.6,2.4,0.5,14.8,0.8,1.1,1.5,0.8,0.8,-3.3,100
1990,23.9,3,4.6,7.8,11.9,19.8,2.3,0.3,1.4,5.4,2.4,0.7,14.7,1.1,1.2,0.9,0.8,0.8,-2.9,100
1991,20.6,3.1,5.4,7.9,13,20.3,2.4,0.2,1.4,5.8,2.3,0.5,14.7,1.2,1.2,1.1,0.9,0.9,-3,100
1992,21.6,3.1,6.5,8.6,14.5,20.8,2.5,0.3,1.4,0.8,2.4,0.5,14.4,1.2,1.2,1.1,1.1,0.9,-2.8,100
1993,20.7,3.4,7.1,9.3,14.9,21.6,2.5,0.3,1.4,-1.6,2.5,0.6,14.1,1.2,1.2,1.4,1.1,0.9,-2.7,100
1994,19.3,3,7.3,9.9,14.9,21.9,2.6,0.4,1.4,-0.3,2.6,0.7,13.9,1.2,1.1,1,1.1,0.8,-2.6,100
1995,17.9,3.4,7.6,10.5,14.8,22.2,2.5,0.3,1.4,-1.2,2.6,0.7,15.3,1.1,1.1,0.6,1.1,0.9,-2.9,100
1996,17,3.1,7.6,11.2,14.7,22.4,2.4,0.2,1.4,-0.7,2.5,0.7,15.4,0.9,1.1,0.6,1.1,0.8,-2.4,100
1997,16.9,3.1,7.7,11.9,14.7,22.8,2.5,0.1,1.3,-0.9,2.5,0.7,15.2,0.9,1.1,0.6,1.3,0.8,-3.1,100
1998,16.2,3.1,8,11.7,14.4,22.9,2.5,0.1,1.3,0.1,2.4,0.6,14.6,0.8,1.1,0.7,1.4,0.9,-2.9,100
1999,16.1,3,8.3,11.2,14.2,22.9,2.5,0.1,1.4,0.2,2.5,0.7,13.5,0.9,1.1,1.3,1.6,0.9,-2.4,100
2000,16.5,3,8.6,11,14.2,22.9,2.6,0,1.4,0.2,2.6,0.6,12.5,1,1,2,1.6,0.7,-2.4,100
2001,16.4,3.1,9.2,11.7,14.5,23.2,2.4,0,1.4,0.3,2.9,0.6,11.1,0.9,1.1,1.4,1.6,0.8,-2.5,100
2002,17.3,3.5,9.8,11.5,15.6,22.7,2.5,0,1.5,0,3.1,0.6,8.5,1.1,1,1.1,1.7,0.8,-2.4,100
2003,18.7,3.8,10.2,11.5,15.5,22,2.6,0,1.4,0,3.1,0.9,7.1,1,1,1,1.6,1.1,-2.5,100
2004,19.9,3.8,10.5,11.7,14.5,21.6,2.6,0,1.3,0.2,2.8,0.7,7,1.2,1,0.7,2,1,-2.6,100
2005,20,3.9,10.1,12.1,14,21.2,2.8,0,1.1,0.3,2.7,1.1,7.4,1.4,1,1.1,1.6,0.7,-2.6,100
2006,19.7,4.5,9.5,12.4,13.3,20.7,2.6,0,1.2,0.2,2.6,2.1,8.5,1.1,0.9,1,1.5,0.7,-2.6,100
2007,20.2,3.4,9.8,13.8,13.4,21.5,2.7,0,1.2,0,2.7,1.1,8.7,1,0.9,0.6,1.6,0.6,-3,100
2008,20.7,3.1,9.4,13.1,14.5,20.7,2.8,0,1.1,0.9,2.6,0.8,8.5,1,0.9,0.6,1.6,0.7,-2.9,100
2009,18.8,2.3,9.5,12.2,15.2,19.4,2.7,0.1,1,8.3,2.4,0.8,5.3,1.1,0.8,0.6,1.5,0.6,-2.6,100
2010,20.1,3.7,10.7,13.1,18,20.4,3.1,0.3,1.3,-2.4,2.7,0.7,5.7,1.3,0.9,0.6,1.6,0.7,-2.4,100
2011,19.6,2.8,10.3,13.5,16.6,20.3,3.5,0.3,1.3,-0.3,2.6,0.7,6.4,1.3,0.8,0.6,1.6,0.8,-2.5,100
2012,19.2,2.6,9.8,13.3,15.3,21.9,3.5,0.4,1.2,1.1,2.6,0.7,6.2,1.3,0.8,0.5,1.6,0.8,-2.9,100
2013,18.3,2.1,10.4,14.4,15.5,23.5,4,0.3,1.1,-2.4,2.7,0.9,6.4,1.3,0.8,0.9,1.5,0.8,-2.7,100
2014,17.2,2.6,11.7,14.6,14.6,24.3,4.3,0.2,1,-2.7,2.6,0.6,6.5,1.3,0.8,0.7,1.4,0.8,-2.5,100
2015,16,3.3,13.1,14.8,13.8,24.1,4.3,0.2,1,-1,2.4,0.6,6.1,1.3,0.8,0.5,1.4,0.6,-3.1,100
