Department or other unit,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Department of the Interior,606.00,730.00,755.00,745.00,866.00,863.00,973.00,1073.00,1087.00,1345.00,1609.00,1780.00,1854.00,2221.00,2433.00,3220.00,3874.00,4168.00,4472.00,4456.00,3944.00,4552.00,4936.00,4804.00,4774.00,5037.00,5138.00,5194.00,5814.00,6082.00,6531.00,6879.00,7064.00,7479.00,6776.00,6763.00,7222.00,7783.00,7998.00,7743.00,9739.00,9193.00,8606.00,9292.00,9037.00,10469.00,9817.00,11775.00,13164.00,13519.00,12891.00,9607.00,11279.00,12340.00
Department of Justice,236.00,256.00,275.00,327.00,305.00,336.00,359.00,423.00,537.00,801.00,1053.00,1460.00,1728.00,1985.00,2140.00,2220.00,2248.00,2353.00,2438.00,2438.00,2325.00,2493.00,2816.00,3182.00,3336.00,3807.00,4656.00,5275.00,5886.00,7670.00,9208.00,9485.00,9369.00,10149.00,11049.00,13076.00,14045.00,16181.00,16846.00,18443.00,21178.00,20790.00,29601.00,22361.00,23324.00,23349.00,26545.00,27711.00,29556.00,30519.00,31159.00,29745.00,28620.00,26906.00
Department of Labor,3914.00,3523.00,3454.00,3121.00,3239.00,3562.00,4180.00,4161.00,4976.00,8456.00,10426.00,9561.00,9964.00,18578.00,26524.00,23225.00,23694.00,23448.00,30542.00,30911.00,31479.00,38683.00,25348.00,24738.00,24934.00,24208.00,22662.00,25374.00,26087.00,34790.00,47889.00,45452.00,37819.00,32808.00,33163.00,31088.00,30580.00,32995.00,31873.00,39707.00,64686.00,69563.00,56687.00,46949.00,43138.00,47544.00,58838.00,138157.00,173053.00,131975.00,104588.00,80307.00,56774.00,45217.00
Department of State,457.00,572.00,455.00,552.00,629.00,655.00,645.00,631.00,661.00,680.00,747.00,807.00,955.00,1075.00,1393.00,1449.00,1658.00,1987.00,2382.00,2347.00,2684.00,2793.00,2982.00,3303.00,3590.00,3572.00,4217.00,4576.00,4796.00,5149.00,5927.00,6385.00,6784.00,6263.00,5730.00,6029.00,5396.00,6554.00,6687.00,7487.00,9327.00,9343.00,10915.00,12748.00,12953.00,13737.00,17493.00,21427.00,23802.00,24354.00,26947.00,25972.00,27481.00,26498.00
Department of Transportation,3854.00,4145.00,4736.00,5201.00,5145.00,5242.00,5555.00,5724.00,6136.00,7039.00,7244.00,7834.00,7724.00,9144.00,11709.00,11978.00,12791.00,14642.00,18166.00,20922.00,17931.00,18239.00,20507.00,22510.00,24885.00,22851.00,23698.00,23828.00,25642.00,27237.00,29098.00,30958.00,33563.00,35132.00,35144.00,36072.00,35554.00,37672.00,41555.00,49231.00,56252.00,50764.00,54879.00,56596.00,60139.00,61697.00,64944.00,73004.00,77750.00,77302.00,75149.00,76322.00,76197.00,75425.00
Department of the Treasury,8474.00,9553.00,10289.00,10791.00,11761.00,12737.00,14290.00,16473.00,19070.00,20452.00,21539.00,30201.00,35369.00,41843.00,43407.00,48061.00,54010.00,63830.00,75451.00,91691.00,109418.00,115366.00,139911.00,163688.00,178076.00,178684.00,200406.00,227402.00,253915.00,274606.00,291005.00,296825.00,305550.00,346875.00,362862.00,377491.00,389005.00,385045.00,390524.00,388268.00,371187.00,368256.00,375844.00,410240.00,464675.00,490589.00,548797.00,701775.00,444338.00,538707.00,464714.00,399068.00,446897.00,485623.00
Department of Veterans Affairs,5608.00,5501.00,5662.00,5710.00,5962.00,6691.00,7018.00,7670.00,8652.00,9758.00,10713.00,11970.00,13339.00,16577.00,18416.00,18020.00,18965.00,19891.00,21137.00,22907.00,23941.00,24827.00,25580.00,26322.00,26523.00,26932.00,29253.00,30014.00,28976.00,31191.00,33872.00,35461.00,37377.00,37748.00,36896.00,39253.00,41724.00,43125.00,47044.00,45012.00,50868.00,56921.00,59554.00,69815.00,69777.00,72792.00,84749.00,95457.00,108274.00,126918.00,124124.00,138464.00,149074.00,159216.00
Corps of Engineers--Civil Works,944.00,1065.00,1091.00,1171.00,1245.00,1273.00,1252.00,1222.00,1168.00,1337.00,1490.00,1676.00,1664.00,2031.00,2112.00,2271.00,2564.00,2898.00,3218.00,3139.00,2962.00,2918.00,3036.00,2998.00,2806.00,2757.00,3028.00,3256.00,3324.00,3341.00,3565.00,3354.00,3483.00,3745.00,3627.00,3598.00,3775.00,3934.00,4229.00,4640.00,4727.00,4682.00,4728.00,4719.00,6944.00,3918.00,5075.00,6842.00,9876.00,10138.00,7777.00,6299.00,6535.00,6685.00
Other Defense Civil Programs,956.00,1077.00,1287.00,1465.00,1681.00,1937.00,2206.00,2557.00,2974.00,3510.00,4002.00,4505.00,5216.00,6319.00,7358.00,8251.00,9203.00,10315.00,11961.00,13788.00,14997.00,16004.00,16536.00,15809.00,17483.00,17962.00,19039.00,20230.00,21690.00,23238.00,24746.00,25957.00,26969.00,27972.00,28947.00,30279.00,31204.00,31987.00,32801.00,34131.00,35136.00,39874.00,41726.00,43481.00,44435.00,47112.00,45785.00,57276.00,54032.00,54775.00,77313.00,56811.00,57370.00,62966.00
Environmental Protection Agency,70.00,87.00,117.00,134.00,158.00,190.00,249.00,303.00,384.00,701.00,763.00,1114.00,2030.00,2531.00,3118.00,4365.00,4072.00,4800.00,5603.00,5242.00,5081.00,4312.00,4076.00,4490.00,4867.00,4904.00,4871.00,4906.00,5108.00,5769.00,5950.00,5930.00,5855.00,6351.00,6046.00,6164.00,6269.00,6733.00,7223.00,7367.00,7451.00,8041.00,8328.00,7913.00,8321.00,8259.00,7939.00,8070.00,11007.00,10772.00,12796.00,9484.00,9399.00,7007.00
Executive Office of the President,12.00,13.00,15.00,16.00,16.00,19.00,21.00,24.00,29.00,38.00,47.00,50.00,67.00,93.00,80.00,74.00,75.00,81.00,96.00,96.00,95.00,94.00,96.00,111.00,108.00,110.00,122.00,124.00,158.00,193.00,186.00,194.00,231.00,215.00,202.00,221.00,237.00,417.00,283.00,246.00,451.00,386.00,3349.00,7686.00,5379.00,2956.00,1173.00,743.00,582.00,484.00,405.00,380.00,375.00,397.00
General Services Administration,382.00,425.00,520.00,612.00,561.00,629.00,482.00,526.00,530.00,546.00,655.00,795.00,929.00,341.00,-13.00,70.00,213.00,211.00,573.00,795.00,550.00,528.00,463.00,364.00,713.00,462.00,-95.00,-444.00,-170.00,445.00,457.00,721.00,332.00,679.00,560.00,882.00,826.00,-413.00,74.00,-309.00,-684.00,589.00,-451.00,20.00,24.00,27.00,343.00,319.00,861.00,1889.00,1753.00,-368.00,-767.00,-890.00
International Assistance Programs,3171.00,3169.00,3226.00,3248.00,3260.00,3375.00,2814.00,2803.00,2655.00,2888.00,2980.00,2317.00,3029.00,3665.00,3742.00,3616.00,5123.00,3757.00,7747.00,8127.00,7922.00,7878.00,10835.00,11858.00,11040.00,10406.00,7252.00,4291.00,10085.00,11723.00,11107.00,11524.00,10497.00,11128.00,9665.00,10075.00,8886.00,10070.00,12087.00,11804.00,13289.00,13449.00,13639.00,15024.00,13917.00,12752.00,11359.00,14797.00,20041.00,20583.00,20009.00,19672.00,18742.00,20950.00
National Aeronautics and Space Administration,1257.00,2552.00,4171.00,5092.00,5933.00,5425.00,4722.00,4251.00,3752.00,3382.00,3423.00,3312.00,3255.00,3269.00,3671.00,4002.00,4164.00,4380.00,4959.00,5537.00,6155.00,6853.00,7055.00,7251.00,7403.00,7591.00,9092.00,11036.00,12429.00,13878.00,13961.00,14305.00,13694.00,13378.00,13881.00,14360.00,14194.00,13636.00,13428.00,14092.00,14405.00,14610.00,15152.00,15602.00,15125.00,15861.00,17833.00,19168.00,18906.00,17618.00,17190.00,16975.00,17095.00,18268.00
National Science Foundation,183.00,206.00,310.00,309.00,368.00,415.00,449.00,490.00,464.00,522.00,567.00,585.00,647.00,662.00,733.00,753.00,803.00,870.00,912.00,976.00,1099.00,1055.00,1193.00,1309.00,1536.00,1547.00,1644.00,1736.00,1821.00,2064.00,2230.00,2429.00,2605.00,2814.00,2988.00,3093.00,3143.00,3246.00,3448.00,3662.00,4155.00,4690.00,5092.00,5403.00,5510.00,5488.00,5785.00,5958.00,6719.00,7146.00,7255.00,7417.00,7053.00,6837.00
Office of Personnel Management,1017.00,1175.00,1304.00,1454.00,1726.00,1934.00,2154.00,2284.00,2652.00,3167.00,3776.00,4607.00,5708.00,7062.00,8323.00,9633.00,10962.00,12663.00,15056.00,18096.00,19983.00,21278.00,22590.00,23727.00,23955.00,26966.00,29191.00,29073.00,31949.00,34808.00,35596.00,36794.00,38596.00,41276.00,42870.00,45404.00,46297.00,47519.00,48655.00,50894.00,52540.00,54135.00,56547.00,59500.00,62400.00,58431.00,64393.00,72302.00,69915.00,74090.00,79457.00,83867.00,87917.00,91734.00
Small Business Administration,230.00,142.00,133.00,243.00,210.00,151.00,284.00,110.00,253.00,333.00,452.00,1317.00,753.00,666.00,624.00,758.00,2820.00,1699.00,2026.00,2032.00,773.00,661.00,510.00,680.00,557.00,-65.00,-54.00,85.00,692.00,613.00,546.00,785.00,779.00,677.00,873.00,333.00,-77.00,57.00,-421.00,-570.00,493.00,1558.00,4075.00,2502.00,905.00,1175.00,528.00,2246.00,6128.00,6163.00,2936.00,477.00,194.00,-746.00
Social Security Administration,14365.00,15788.00,16620.00,17460.00,20694.00,21725.00,23854.00,27299.00,30270.00,35873.00,40158.00,49132.00,58123.00,69438.00,78960.00,90358.00,99715.00,109544.00,124959.00,146776.00,163640.00,180585.00,188818.00,200227.00,210000.00,218946.00,232602.00,246182.00,262274.00,285403.00,306361.00,326492.00,345045.00,361407.00,374563.00,392681.00,407610.00,419233.00,441290.00,461264.00,487826.00,507733.00,530208.00,561335.00,585743.00,621763.00,657799.00,727549.00,754178.00,784194.00,821144.00,867391.00,905771.00,944122.00
Other Independent Agencies,2283.00,1615.00,1178.00,1815.00,2494.00,3683.00,4290.00,2918.00,4263.00,5223.00,5437.00,5654.00,7849.00,9707.00,9575.00,9260.00,8526.00,9433.00,13522.00,11891.00,8631.00,8966.00,9206.00,7193.00,8913.00,11418.00,20732.00,30417.00,70330.00,78187.00,15064.00,-15880.00,4459.00,-7965.00,2563.00,-2862.00,11095.00,7210.00,10832.00,13688.00,16054.00,9334.00,5973.00,14975.00,12928.00,18006.00,49638.00,47935.00,-2825.00,18265.00,32691.00,26267.00,6558.00,14232.00
Undistributed Offsetting Receipts,-6707.00,-7274.00,-7321.00,-7677.00,-8443.00,-9578.00,-10712.00,-11087.00,-12567.00,-14869.00,-14672.00,-18846.00,-23333.00,-21267.00,-22186.00,-23018.00,-24250.00,-27428.00,-31988.00,-41852.00,-42165.00,-51078.00,-52329.00,-58656.00,-65036.00,-72262.00,-78789.00,-89074.00,-98930.00,-110005.00,-117111.00,-119711.00,-123469.00,-137632.00,-134997.00,-154969.00,-161034.00,-159036.00,-173019.00,-191125.00,-200706.00,-210449.00,-212526.00,-226213.00,-237548.00,-260206.00,-277791.00,-274193.00,-267886.00,-276478.00,-230682.00,-249450.00,-246158.00,-257594.00
Total,106821.00,111316.00,118528.00,118228.00,134532.00,157464.00,178134.00,183640.00,195649.00,210172.00,230681.00,245707.00,269359.00,332332.00,371792.00,409218.00,458746.00,504028.00,590941.00,678241.00,745743.00,808364.00,851805.00,946344.00,990382.00,1004017.00,1064416.00,1143743.00,1252993.00,1324226.00,1381529.00,1409386.00,1461752.00,1515742.00,1560484.00,1601116.00,1652458.00,1701842.00,1788950.00,1862846.00,2010894.00,2159899.00,2292841.00,2471957.00,2655050.00,2728686.00,2982544.00,3517677.00,3457079.00,3603056.00,3536951.00,3454647.00,3506114.00,3688292.00
