Department or other unit,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Department of the Interior,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3
Department of Justice,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.6,0.7,0.7,0.8,0.8,1,0.9,1,1.1,1,1.3,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.8,0.7
Department of Labor,3.7,3.2,2.9,2.6,2.4,2.3,2.3,2.3,2.5,4,4.5,3.9,3.7,5.6,7.1,5.7,5.2,4.7,5.2,4.6,4.2,4.8,3,2.6,2.5,2.4,2.1,2.2,2.1,2.6,3.5,3.2,2.6,2.2,2.1,1.9,1.9,1.9,1.8,2.1,3.2,3.2,2.5,1.9,1.6,1.7,2,3.9,5,3.7,3,2.3,1.6,1.2
Department of State,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.7
Department of Transportation,3.6,3.7,4,4.4,3.8,3.3,3.1,3.1,3.1,3.3,3.1,3.2,2.9,2.8,3.1,2.9,2.8,2.9,3.1,3.1,2.4,2.3,2.4,2.4,2.5,2.3,2.2,2.1,2,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.2,2.2,2.3,2.6,2.8,2.4,2.4,2.3,2.3,2.3,2.2,2.1,2.2,2.1,2.1,2.2,2.2,2
Department of the Treasury,7.9,8.6,8.7,9.1,8.7,8.1,8,9,9.7,9.7,9.3,12.3,13.1,12.6,11.7,11.7,11.8,12.7,12.8,13.5,14.7,14.3,16.4,17.3,18,17.8,18.8,19.9,20.3,20.7,21.1,21.1,20.9,22.9,23.3,23.6,23.5,22.6,21.8,20.8,18.5,17,16.4,16.6,17.5,18,18.4,19.9,12.9,15,13.1,11.6,12.7,13.2
Department of Veterans Affairs,5.2,4.9,4.8,4.8,4.4,4.2,3.9,4.2,4.4,4.6,4.6,4.9,5,5,5,4.4,4.1,3.9,3.6,3.4,3.2,3.1,3,2.8,2.7,2.7,2.7,2.6,2.3,2.4,2.5,2.5,2.6,2.5,2.4,2.5,2.5,2.5,2.6,2.4,2.5,2.6,2.6,2.8,2.6,2.7,2.8,2.7,3.1,3.5,3.5,4,4.3,4.3
Corps of Engineers--Civil Works,0.9,1,0.9,1,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2
Other Defense Civil Programs,0.9,1,1.1,1.2,1.2,1.2,1.2,1.4,1.5,1.7,1.7,1.8,1.9,1.9,2,2,2,2,2,2,2,2,1.9,1.7,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.8,1.8,1.8,1.7,1.7,1.5,1.6,1.6,1.5,2.2,1.6,1.6,1.7
Environmental Protection Agency,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.8,0.8,0.8,1.1,0.9,1,0.9,0.8,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.3,0.3,0.2
Executive Office of the President,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.1,0,0,0,0,0,0,0,0
General Services Administration,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
International Assistance Programs,3,2.8,2.7,2.7,2.4,2.1,1.6,1.5,1.4,1.4,1.3,0.9,1.1,1.1,1,0.9,1.1,0.7,1.3,1.2,1.1,1,1.3,1.3,1.1,1,0.7,0.4,0.8,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.6,0.6,0.6,0.6,0.5,0.6
National Aeronautics and Space Administration,1.2,2.3,3.5,4.3,4.4,3.4,2.7,2.3,1.9,1.6,1.5,1.3,1.2,1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.9,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
National Science Foundation,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Office of Personnel Management,1,1.1,1.1,1.2,1.3,1.2,1.2,1.2,1.4,1.5,1.6,1.9,2.1,2.1,2.2,2.4,2.4,2.5,2.5,2.7,2.7,2.6,2.7,2.5,2.4,2.7,2.7,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.7,2.7,2.6,2.5,2.5,2.4,2.4,2.1,2.2,2.1,2,2.1,2.2,2.4,2.5,2.5
Small Business Administration,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.5,0.3,0.2,0.2,0.2,0.6,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0.1,0.2,0.1,0,0,0,0.1,0.2,0.2,0.1,0,0,0
Social Security Administration,13.4,14.2,14,14.8,15.4,13.8,13.4,14.8,15.4,17,17.4,20,21.6,20.9,21.2,22.1,21.7,21.7,21.1,21.7,21.9,22.3,22.2,21.2,21.3,21.8,21.9,21.5,21,21.5,22.2,23.2,23.6,23.8,24,24.5,24.7,24.7,24.6,24.7,24.3,23.5,23.1,22.7,22.1,22.8,22.1,20.6,21.8,21.8,23.2,25.1,25.8,25.6
Other Independent Agencies,2.1,1.5,1,1.5,1.9,2.3,2.4,1.6,2.2,2.5,2.4,2.3,2.9,2.9,2.6,2.3,1.9,1.8,2.3,1.7,1.1,1.1,1,0.7,0.9,1.1,2,2.7,5.6,5.9,1,-1.1,0.3,-0.5,0.2,-0.2,0.7,0.5,0.6,0.7,0.8,0.5,0.2,0.6,0.5,0.7,1.7,1.4,-0.1,0.5,0.9,0.7,0.2,0.4
Undistributed Offsetting Receipts,-6.3,-6.5,-6.2,-6.5,-6.3,-6.1,-6,-6,-6.4,-7.1,-6.4,-7.7,-8.7,-6.4,-6,-5.6,-5.3,-5.4,-5.4,-6.2,-5.7,-6.3,-6.1,-6.2,-6.6,-7.2,-7.4,-7.8,-7.9,-8.3,-8.5,-8.5,-8.4,-9.1,-8.7,-9.7,-9.7,-9.3,-9.7,-10.3,-10,-9.7,-9.3,-9.2,-8.9,-9.5,-9.3,-7.8,-7.7,-7.7,-6.5,-7.2,-7,-7
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
