Year,Receipts,Outlays,Surplus,Receipts_2009,Outlays_2009,Surplus_2009,deflator,receipts_pct,outlays_pct,surplus_pct
1974,263.20,269.40,-6.10,1072.60,1097.60,-25.00,0.2454,17.70,18.10,-0.40
1975,279.10,332.30,-53.20,1035.60,1233.10,-197.60,0.2695,17.30,20.60,-3.30
1976,298.10,371.80,-73.70,1032.10,1287.40,-255.30,0.2888,16.60,20.80,-4.10
1977,355.60,409.20,-53.70,1147.70,1320.90,-173.20,0.3098,17.50,20.20,-2.60
1978,399.60,458.70,-59.20,1213.70,1393.50,-179.80,0.3292,17.50,20.10,-2.60
1979,463.30,504.00,-40.70,1295.60,1409.50,-113.90,0.3576,18.00,19.60,-1.60
1980,517.10,590.90,-73.80,1308.80,1495.70,-186.90,0.3951,18.50,21.10,-2.60
1981,599.30,678.20,-79.00,1364.80,1544.60,-179.80,0.4391,19.10,21.60,-2.50
1982,617.80,745.70,-128.00,1308.50,1579.60,-271.10,0.4721,18.60,22.50,-3.90
1983,600.60,808.40,-207.80,1211.50,1630.80,-419.20,0.4957,17.00,22.80,-5.90
1984,666.40,851.80,-185.40,1285.60,1643.10,-357.60,0.5184,16.90,21.50,-4.70
1985,734.00,946.30,-212.30,1366.40,1761.60,-395.20,0.5372,17.20,22.20,-5.00
1986,769.20,990.40,-221.20,1402.00,1805.30,-403.30,0.5486,17.00,21.80,-4.90
1987,854.30,1004.00,-149.70,1513.90,1779.20,-265.30,0.5643,17.90,21.00,-3.10
1988,909.20,1064.40,-155.20,1558.20,1824.20,-265.90,0.5835,17.60,20.60,-3.00
1989,991.10,1143.70,-152.60,1636.00,1888.00,-252.00,0.6058,17.80,20.50,-2.70
1990,1032.00,1253.00,-221.00,1654.60,2009.00,-354.40,0.6237,17.40,21.20,-3.70
1991,1055.00,1324.20,-269.20,1616.60,2029.20,-412.60,0.6526,17.30,21.70,-4.40
1992,1091.20,1381.50,-290.30,1611.60,2040.40,-428.80,0.6771,17.00,21.50,-4.50
1993,1154.30,1409.40,-255.10,1655.70,2021.50,-365.80,0.6972,17.00,20.70,-3.80
1994,1258.60,1461.80,-203.20,1772.60,2058.80,-286.20,0.7100,17.50,20.30,-2.80
1995,1351.80,1515.70,-164.00,1850.20,2074.70,-224.40,0.7306,17.80,20.00,-2.20
1996,1453.10,1560.50,-107.40,1948.10,2092.10,-144.00,0.7459,18.20,19.60,-1.30
1997,1579.20,1601.10,-21.90,2074.70,2103.40,-28.70,0.7612,18.60,18.90,-0.30
1998,1721.70,1652.50,69.30,2242.10,2151.90,90.20,0.7679,19.20,18.50,0.80
1999,1827.50,1701.80,125.60,2349.80,2188.30,161.50,0.7777,19.20,17.90,1.30
2000,2025.20,1789.00,236.20,2541.00,2244.60,296.40,0.7970,20.00,17.60,2.30
2001,1991.10,1862.80,128.20,2433.20,2276.50,156.70,0.8183,18.80,17.60,1.20
2002,1853.10,2010.90,-157.80,2227.60,2417.20,-189.60,0.8319,17.00,18.50,-1.50
2003,1782.30,2159.90,-377.60,2083.60,2525.00,-441.40,0.8554,15.70,19.10,-3.30
2004,1880.10,2292.80,-412.70,2141.80,2612.00,-470.20,0.8778,15.60,19.00,-3.40
2005,2153.60,2472.00,-318.30,2371.60,2722.10,-350.60,0.9081,16.70,19.20,-2.50
2006,2406.90,2655.00,-248.20,2561.90,2826.00,-264.20,0.9395,17.60,19.40,-1.80
2007,2568.00,2728.70,-160.70,2663.10,2829.70,-166.70,0.9643,17.90,19.10,-1.10
2008,2524.00,2982.50,-458.60,2529.00,2988.50,-459.50,0.9980,17.10,20.20,-3.10
2009,2105.00,3517.70,-1412.70,2105.00,3517.70,-1412.70,1.0000,14.60,24.40,-9.80
2010,2162.70,3457.10,-1294.40,2129.30,3403.60,-1274.40,1.0157,14.60,23.40,-8.70
2011,2303.50,3603.10,-1299.60,2215.90,3466.10,-1250.20,1.0395,15.00,23.40,-8.50
2012,2450.00,3537.00,-1087.00,2310.70,3335.80,-1025.10,1.0603,15.30,22.10,-6.80
2013,2775.10,3454.60,-679.50,2583.40,3216.00,-632.60,1.0742,16.80,20.90,-4.10
2014,3021.50,3506.10,-484.60,2771.50,3216.00,-444.50,1.0902,17.60,20.40,-2.80
2015,3249.90,3688.30,-438.40,2939.50,3336.00,-396.50,1.1056,18.30,20.70,-2.50
